Date,Close,High,Low,Open,Volume
2018-01-02,40.2670783996582,40.27643070005527,39.565805677893536,39.776189634537445,102223600
2018-01-03,40.260066986083984,40.80238628352514,40.19695500765061,40.33019497342311,118071600
2018-01-04,40.44706726074219,40.5499211500562,40.224998308918046,40.33252478094121,89738400
2018-01-05,40.90757369995117,40.99406285723671,40.45174716352319,40.54291247080879,94640000
2018-01-08,40.7556266784668,41.050159881448366,40.65744537728277,40.7556266784668,82271200
2018-01-09,40.750953674316406,40.921595685232134,40.53589715868877,40.802380620103136,86336000
2018-01-10,40.74159622192383,40.743936079890894,40.440050593275295,40.477452652181725,95839600
2018-01-11,40.9730339050293,41.022124572917754,40.78836696115157,40.81174058221333,74670800
2018-01-12,41.39611053466797,41.45922605185562,41.05949919880851,41.18339037563789,101672400
2018-01-16,41.18574142456055,41.93376483703263,41.17405283422285,41.58546481936825,118263600
2018-01-17,41.86598205566406,41.90104426428869,40.923939337469655,41.176394373281866,137547200
2018-01-18,41.90338134765625,42.09974042023661,41.6672874824555,41.929094823419305,124773600
2018-01-19,41.71636962890625,41.97817691644085,41.47092351341417,41.75143183103793,129700400
2018-01-22,41.37508773803711,41.5574183478053,41.28158614164321,41.44521571876117,108434400
2018-01-23,41.38442611694336,41.94544625551665,41.333002748592435,41.445205349564546,130756400
2018-01-24,40.7252311706543,41.44520468515818,40.48679752641156,41.43351609700638,204420400
2018-01-25,39.99826431274414,40.89589266839285,39.862684472538135,40.793038750522214,166116000
2018-01-26,40.09174728393555,40.206289742269604,39.75279962447954,40.206289742269604,156572000
2018-01-29,39.261924743652344,39.77619070677116,39.05388063992829,39.77619070677116,202561600
2018-01-30,39.03049850463867,39.124000098125286,38.499867866116375,38.693887061115404,184192800
2018-01-31,39.138023376464844,39.37412077565685,38.92063057543217,39.00711972420556,129915600
2018-02-01,39.219844818115234,39.41620032091382,38.98141109794126,39.07725255770871,188923200
2018-02-02,37.51809310913086,38.990766636131845,37.42459150008796,38.8037598511883,346375200
2018-02-05,36.580718994140625,38.30818708507509,36.46617651460954,37.190826320809336,290954000
